2026-06-04 18:52:08.257 | INFO | OCRPipeline | Starting OCR run
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Pipeline Started
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Table Detection Started
2026-06-04 18:52:08.258 | WARNING | OCRPipeline | Layer Partially Failed: Table Detection
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Classification Started
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Classification Completed
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Table Extraction Started
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Table Extraction Completed
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Validation Started
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Validation Completed
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Metric Normalization Started
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Metric Normalization Completed
2026-06-04 18:52:08.258 | INFO | OCRPipeline | Insights Extraction Started
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Insights Extraction Completed
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Financial Year Consolidation Started
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Financial Year Consolidation Completed
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Workbook Population Started
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Workbook Population Completed
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Pipeline Completed
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Run Summary
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Summary document: maple_leaf_cement_factory_limited_2025
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Summary runtime seconds: 0.001579
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Summary stage Extraction: 0.000325s
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Summary stage Capture: 0.000000s
2026-06-04 18:52:08.259 | INFO | OCRPipeline | Summary stage Registry: 0.000000s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary stage Statement Governance: 0.000000s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary stage Scale Governance: 0.000000s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary stage Entity Governance: 0.000000s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary stage Selection: 0.000000s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary stage Workbook: 0.000094s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary stage MSIL Export: 0.000000s
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary candidate count: 0
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary canonical count: 0
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary workbook rows: 0
2026-06-04 18:52:08.260 | INFO | OCRPipeline | Summary status: failed
